service_id,date,exception_type
48152.124661,20251013,2
48152.124661,20251127,2
48152.124661,20251128,2
48152.124661,20251225,2
48152.124661,20251226,2
48152.124661,20251229,2
48152.124661,20251230,2
48152.124661,20251231,2
48152.124661,20260101,2
48152.124661,20260102,2
48152.124663,20251013,2
48152.124663,20251127,2
48152.124663,20251128,2
48688.126119,20250901,2
48688.126119,20251013,2
48688.126119,20251127,2
48688.126119,20251128,2
48168.126153,20250831,2
48168.126153,20250901,2
48168.126153,20250902,2
48168.126153,20250903,2
48168.126153,20250904,2
48168.126153,20250905,2
48168.126153,20250906,2
48168.126153,20250907,2
48168.126153,20250908,2
48168.126153,20250909,2
48168.126153,20250910,2
48168.126153,20250911,2
48168.126153,20250912,2
48168.126153,20250913,2
48168.126153,20250914,2
48168.126153,20250915,2
48168.126153,20250916,2
48168.126153,20250917,2
48168.126153,20250918,2
48168.126153,20250919,2
48168.126153,20250920,2
48168.126153,20250921,2
48168.126153,20250922,2
48168.126153,20250923,2
48168.126153,20250924,2
48168.126153,20250925,2
48168.126153,20250926,2
48168.126153,20250927,2
48168.126153,20250928,2
48168.126153,20250929,2
48168.126153,20250930,2
48168.126153,20251001,2
48168.126153,20251002,2
48168.126153,20251003,2
48168.126153,20251004,2
48168.126153,20251005,2
48168.126153,20251006,2
48168.126153,20251007,2
48168.126153,20251008,2
48168.126153,20251009,2
48168.126153,20251010,2
48168.126153,20251011,2
48168.126153,20251014,2
48168.126153,20251015,2
48168.126153,20251016,2
48168.126153,20251017,2
48168.126153,20251225,2
48168.126153,20251226,2
48168.126153,20251227,2
48168.126153,20251228,2
48168.126153,20251229,2
48168.126153,20251230,2
48168.126153,20251231,2
48168.126153,20260101,2
