service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
48152,1,1,1,1,1,1,1,20250101,20271231
48152.124661,1,1,1,1,1,0,0,20250902,20260116
48152.124663,1,1,1,1,1,0,0,20250902,20251221
48152.126140,0,0,0,0,0,1,1,20250824,20261224
48688.126119,1,1,1,1,1,0,0,20250824,20251221
48167.124675,0,0,0,0,0,0,0,20250101,20271231
48168.126153,1,1,1,1,1,1,1,20250824,20260117
48168.126154,0,0,0,0,0,1,0,20260103,20261231
